2-gram	*/*	2/*	3/*	4/*	5/*	6/*	7/*	8/*	9/*	2/1:2	3/1:2	3/2:3	4/1:2	4/2:3	4/3:4	5/1:2	5/2:3	5/3:4	5/4:5	6/1:2	6/2:3	6/3:4	6/4:5	6/5:6	7/1:2	7/2:3	7/3:4	7/4:5	7/5:6	7/6:7	8/1:2	8/2:3	8/3:4	8/4:5	8/5:6	8/6:7	8/7:8	9/1:2	9/2:3	9/3:4	9/4:5	9/5:6	9/6:7	9/7:8	9/8:9	*/1:2	*/2:3	*/3:4	*/4:5	*/5:6	*/6:7	*/7:8	*/8:9	*/9:10	*/-9:-8	*/-8:-7	*/-7:-6	*/-6:-5	*/-5:-4	*/-4:-3	*/-3:-2	*/-2:-1
TH	100272945963	15854089	53177359897	23949239953	10166172783	4107012905	3754299810	1790488884	1380226565	15854089	53167751846	9608051	18044771797	1725871	5902742285	7078145320	1406474721	53377435	1628175307	1209000757	349826121	1642342391	263054507	642789129	1250352438	37014992	959853153	1294987181	93182613	118909433	442406297	29429664	469804474	438746418	242221830	36471102	131409099	402351176	93750120	285288598	151853732	271257570	20034734	33762010	121928625	82191954206	1944903553	9682689029	3979355614	1390538478	432554002	280104975	177968126	140557449	573953638	752170028	1778248099	2011264965	9235458296	22750054610	53677948758	8729279970
HE	86697336727	4110457083	56167425979	7487800614	8247494280	2719341376	3092031031	1611303288	1249842476	4110457083	1661218025	54506207954	1330715873	6151778646	5306095	680137544	6118844352	1420436290	28076094	544088586	369680800	386297113	1390608008	28666869	396157179	665438649	61247823	164941940	1787800550	16444890	134732957	290569372	97334046	89360702	390863420	590993165	17449626	91186442	411975212	160907774	117316290	112760804	103711433	237907680	14076841	9112438473	68972918222	2171031656	1914128950	2475548756	889078255	524475712	280061308	228439811	474181923	637367387	1028372154	1626225640	1465752930	8660339480	13736813355	58739545490
IN	68595215308	16891065263	233215898	3519540510	4911626166	6279226557	9017989465	8848541116	7458869052	16891065263	71558880	161657018	1203450210	1735261629	580828671	314819140	1064081883	2669872923	862852220	793882011	734441456	791366942	3040850442	918685706	807997325	777026014	534373296	788790882	5387070679	722731269	1760525899	415495035	505178267	789741924	1341879947	3812122414	223597630	1760568699	236766437	282212247	321171979	768630257	463709545	3534393058	91416830	27799770674	5296303799	5688289144	6410682040	9482572675	5372281267	4431143273	2232706734	1044312202	2098595873	2422647138	2424865755	3014423080	3703209589	6155529794	23738997749	20517043744
